name,play_for_free,top_seller,deal,history,discount,price,rating,ends in,started,release,lowest_price
1001 Jigsaw. Home Sweet Home 3,no,no,Week Long Deal,,0.9,1.08,0.6408,in 2 days,5 days ago,2022-07-01,
Mystery Solitaire. Dreamcatcher 2,no,no,Week Long Deal,,0.9,1.08,0.6408,in 2 days,5 days ago,2022-08-01,
Fishing and Girls,no,no,,,0.81,1.32,0.6408,in 14 days,11 hours ago,2023-05-01,
DROPSOL,no,no,,new historical low,0.81,0.6,0.6408,in 4 days,10 days ago,2023-06-01,0.6
Jigsaw Puzzle - Pixel Art Master,no,no,Week Long Deal,not the lowest price,0.8,1.39,0.6408,,,2020-12-01,0.89
Paintings Jigsaw Puzzles,no,no,Week Long Deal,not the lowest price,0.8,2.75,0.6408,,,2021-02-01,1.12
Super Hot Potato,no,no,,not the lowest price,0.8,2.89,0.6408,,,2021-05-01,1.44
Freddy Frog,no,no,,not the lowest price,0.8,2.89,0.6408,,,2021-06-01,1.44
Middle Ages Jigsaw Puzzles,no,no,Week Long Deal,not the lowest price,0.8,2.09,0.6408,,,2021-11-01,1.1
Nature & Wildlife - Jigsaw Puzzle,no,no,Week Long Deal,not the lowest price,0.8,2.75,0.6408,,,2022-08-01,1.73
Unsolved Case: Murderous Script Collector's Edition,no,no,,new historical low,0.8,8.89,0.6408,,,2023-03-01,8.89
Spot The Dot,no,no,Week Long Deal,,0.75,1.12,0.6408,in 2 days,5 days ago,2020-10-01,
Scapegoat,no,no,Week Long Deal,,0.75,2.72,0.6408,in 2 days,5 days ago,2022-04-01,
Strazeal,no,no,,not the lowest price,0.7,1.34,0.6408,in 4 days,10 days ago,2019-08-01,1.12
Pixel Punk,no,no,,new historical low,0.69,1.39,0.6408,in 7 days,7 days ago,2023-06-01,1.39
Scramble All Fighters,no,no,,,0.66,3.56,0.6408,in 14 days,6 hours ago,2023-05-01,
In Space,no,no,,not the lowest price,0.65,3.67,0.6408,in 14 days,6 hours ago,2022-12-01,3.14
Dotto Botto,no,no,,not the lowest price,0.65,2.27,0.6408,in 14 days,6 hours ago,2022-03-01,1.94
打豹虎 Spider Derby,no,no,Week Long Deal,,0.6,4.95,0.6408,in 2 days,5 days ago,2019-07-01,
A Lost Note,no,no,Week Long Deal,new historical low,0.6,29.59,0.6408,in 2 days,5 days ago,2023-06-01,29.59
抗日英雄Anti Japanese Heroes,no,no,,new historical low,0.6,1.39,0.6408,in 12 days,2 days ago,2023-06-01,1.39
Twisted: Enhanced Edition,no,no,Week Long Deal,not the lowest price,0.5,10.34,0.6408,in 2 days,5 days ago,2018-04-01,9.8
Table Games VR,no,no,Week Long Deal,not the lowest price,0.5,10.34,0.6408,in 2 days,5 days ago,2019-04-01,8.27
Hyde and Zeke,no,no,,,0.5,2.24,0.6408,in 2 days,5 days ago,2020-06-01,
Anime - Match The Memory,no,no,Week Long Deal,not the lowest price,0.5,1.74,0.6408,in 2 days,4 days ago,2020-10-01,1.14
Mysteries of Shaola: The Cave,no,no,Week Long Deal,not the lowest price,0.5,10.34,0.6408,in 2 days,5 days ago,2022-01-01,2.06
Turk-A-Lurk,no,no,Week Long Deal,,0.5,5.44,0.6408,in 2 days,5 days ago,2022-01-01,
Classic Memory Game,no,no,Week Long Deal,not the lowest price,0.5,1.74,0.6408,in 2 days,4 days ago,2022-07-01,1.14
Space landing,no,no,Week Long Deal,not the lowest price,0.5,3.49,0.6408,,,2023-01-01,2.79
Waiter,no,no,,,0.5,5.24,0.6408,,,2023-01-01,
Retro Style - Pixel Art Jigsaw Puzzles,no,no,Week Long Deal,,0.5,1.74,0.6408,,,2023-02-01,
Overdriven Evolution,no,no,Week Long Deal,new historical low,0.4,35.4,0.6408,,,2022-09-01,35.4
Champ at Dawn,no,no,Week Long Deal,not the lowest price,0.4,5.99,0.6408,,,2023-01-01,4.99
Frontline: ART Book vol.I USA,no,no,,,0.4,12.29,0.6408,,,2023-03-01,
炸鸡块与天使,no,no,Introductory Offer,new historical low,0.4,10.19,0.6408,,,2023-07-01,10.19
