name,play_for_free,top_seller,deal,history,discount,price,rating,ends in,started,release,lowest_price
MELTY BLOOD: TYPE LUMINA,yes,no,,new historical low,0.5,46.99,0.8479000000000001,in 12 days,2 days ago,2021-09-01,46.99
Two Point Campus,yes,no,,new historical low,0.5,77.75,0.8342,in 12 days,2 days ago,2022-08-01,77.75
FOR HONOR™,yes,no,,,0.8,8.99,0.6864,in 5 days,2 days ago,2017-02-01,
Shadows of Doubt,no,yes,,new historical low,0.2,47.99,0.8814,in 12 days,2 days ago,2023-04-01,47.99
Deadlink,no,yes,Daily Deal,new historical low,0.25,28.49,0.8706,in 6 days,2 days ago,2023-07-01,28.49
Half-Life: Alyx,no,yes,Weekend Deal,not the lowest price,0.66,55.08,0.9678,in 5 days,2 days ago,2020-03-01,54.99
Lost in Play,no,no,Daily Deal,new historical low,0.5,25.0,0.9394,in 13 days,yesterday,2022-08-01,25.0
Mini Motorways,no,no,Midweek Deal,new historical low,0.25,15.51,0.9347,in 2 days,5 days ago,2021-07-01,15.51
Heavenly Bodies,no,no,Daily Deal,new historical low,0.5,18.99,0.9161,in 4 days,3 days ago,2021-12-01,18.99
Assassin's Creed® Odyssey,no,yes,,,0.8,35.99,0.8809999999999999,in 2 days,5 days ago,2018-10-01,
Assassin's Creed® Origins,no,yes,,,0.85,26.99,0.8534999999999999,in 2 days,5 days ago,2017-10-01,
Gas Guzzlers Extreme,no,no,Daily Deal,new historical low,0.9,6.39,0.8306999999999999,in 3 days,4 days ago,2013-10-01,6.39
Doki Doki Literature Club Plus!,no,no,Midweek Deal,,0.33,19.42,0.9443,in 2 days,5 days ago,2021-06-01,
Trepang2,no,no,,new historical low,0.1,98.1,0.9051,in 9 days,5 days ago,2023-06-01,98.1
Gloomwood,no,no,,new historical low,0.25,28.49,0.904,in 2 days,5 days ago,2022-09-01,28.49
CaseCracker,no,no,Daily Deal,,0.3,14.48,0.897,in 2 days,5 days ago,2022-12-01,
Red Dead Redemption 2,no,yes,,not the lowest price,0.67,98.96,0.8964,in 5 days,9 days ago,2019-12-01,78.87
HELLO LADY!,no,no,,new historical low,0.64,20.87,0.8937999999999999,in 8 days,7 hours ago,2018-06-01,20.87
"Warhammer 40,000: Boltgun",no,no,Weekend Deal,,0.2,63.92,0.8919,in 5 days,2 days ago,2023-05-01,
A Plague Tale: Requiem,no,no,Weekend Deal,,0.5,84.95,0.8915000000000001,in 2 days,9 days ago,2022-10-01,
Sifu,no,no,,new historical low,0.33,50.91,0.8896999999999999,in 7 days,6 hours ago,2023-03-01,50.91
Amnesia: The Bunker,no,no,Week Long Deal,new historical low,0.15,62.89,0.8894,in 2 days,5 days ago,2023-06-01,62.89
Aonatsu Line,no,no,,new historical low,0.35,42.89,0.8873000000000001,in 8 days,7 hours ago,2022-12-01,42.89
Assassin's Creed 2,no,yes,,not the lowest price,0.75,14.99,0.8795999999999999,in 2 days,5 days ago,2010-03-01,9.99
Assassin’s Creed® IV Black Flag™,no,yes,,not the lowest price,0.7,35.99,0.8789,in 2 days,5 days ago,,7.99
Intravenous,no,no,,new historical low,0.66,8.49,0.8736,in 2 days,5 days ago,2021-07-01,8.49
Assassin’s Creed® Brotherhood,no,yes,,not the lowest price,0.75,14.99,0.8684999999999999,in 2 days,5 days ago,2011-03-01,9.99
Lost in Random™,no,no,,new historical low,0.85,22.35,0.865,in 12 days,2 days ago,2021-09-01,22.35
Aliens: Dark Descent,no,no,,new historical low,0.2,111.92,0.86,in 5 days,2 days ago,2023-06-01,111.92
Let's School,no,no,Introductory Offer,new historical low,0.1,53.99,0.8561,in 4 days,3 days ago,2023-07-01,53.99
Drug Dealer Simulator,no,no,,new historical low,0.77,8.73,0.8531,in 6 days,8 days ago,2020-04-01,8.73
Call of Duty®: Black Ops II,no,yes,,not the lowest price,0.67,36.29,0.8472,in 5 days,2 days ago,2012-11-01,33.99
Sanfu,no,no,Introductory Offer,new historical low,0.1,32.21,0.8441,in 5 days,2 days ago,2023-07-01,32.21
Assassin’s Creed® Rogue,no,yes,,not the lowest price,0.7,17.99,0.8281999999999999,in 2 days,5 days ago,2015-03-01,13.19
Conscious Existence - A Journey Within,no,no,,new historical low,0.75,2.72,0.8239,in 2 days,5 days ago,2019-06-01,2.72
F1® 23,no,no,,new historical low,0.4,287.4,0.8212999999999999,in 3 days,11 days ago,2023-06-01,287.4
HITMAN 3,no,yes,,not the lowest price,0.5,94.49,0.8204,in 2 days,5 days ago,2022-01-01,87.15
Assassin's Creed™: Director's Cut Edition,no,yes,,not the lowest price,0.75,14.99,0.8193,in 2 days,5 days ago,2008-04-01,9.99
Call of Duty®: Black Ops III,no,yes,,not the lowest price,0.67,65.96,0.8158,,,2015-11-01,19.43
Hunt: Showdown,no,yes,Weekend Deal,,0.6,35.6,0.8154,,,2019-08-01,
Sniper Elite 3,no,no,,new historical low,0.9,5.59,0.8068000000000001,,,2014-06-01,5.59
Assassin's Creed® Syndicate,no,yes,,,0.75,22.49,0.7887000000000001,,,2015-11-01,
Assassin's Creed® Unity,no,yes,,not the lowest price,0.75,22.49,0.759,,,2014-11-01,13.49
Call of Duty®: Black Ops Cold War,no,yes,,,0.67,82.17,0.7587,,,2023-03-01,
Assassin's Creed Freedom Cry,no,yes,,not the lowest price,0.75,11.24,0.7354999999999999,,,2014-02-01,8.74
Assassin's Creed Valhalla,no,yes,,,0.75,49.99,0.6433,,,2022-12-01,
Call of Duty®: Modern Warfare® II,no,yes,,,0.45,164.94,0.5992999999999999,,,2022-10-01,
Assassin's Creed® III Remastered,no,yes,,,0.75,29.99,0.5726,,,2019-03-01,
Resident Evil 2,no,no,,,0.75,34.97,0.9584,,,2019-01-01,
Broforce,no,no,Daily Deal,not the lowest price,0.8,9.39,0.9526,,,2015-10-01,4.99
Resident Evil Village,no,no,,,0.5,69.95,0.9431999999999999,,,2021-05-01,
Black Mesa,no,no,,,0.75,9.24,0.9398000000000001,,,2020-03-01,
Mini Metro,no,no,Midweek Deal,not the lowest price,0.5,9.99,0.9359999999999999,,,2015-11-01,4.99
Untitled Goose Game,no,no,,,0.5,18.99,0.9323999999999999,,,2020-09-01,
Detroit: Become Human,no,no,Week Long Deal,,0.5,67.49,0.9288,,,2020-06-01,
Mark of the Ninja: Remastered,no,no,,,0.6,15.19,0.9283,,,2018-10-01,
Borderlands 2,no,no,,not the lowest price,0.75,11.24,0.9279000000000001,,,2012-09-01,11.18
Rise of the Tomb Raider™,no,no,,,0.8,17.0,0.9265000000000001,,,2016-02-01,
Little Nightmares II,no,no,,,0.67,42.05,0.9247,,,2021-02-01,
Insomnia: Theater in the Head,no,no,,,0.2,6.99,0.9246,,,2022-12-01,
PAC-MAN™ Championship Edition DX+,no,no,Week Long Deal,,0.75,4.24,0.9245,,,2013-09-01,
Deus Ex: Game of the Year Edition,no,no,,,0.86,1.81,0.9229,,,2000-06-01,
A Plague Tale: Innocence,no,no,,,0.8,25.98,0.9190999999999999,,,2019-05-01,
The Procession to Calvary,no,no,,,0.55,9.31,0.917,,,2020-04-01,
The Coma 2: Vicious Sisters,no,no,,,0.8,5.79,0.9168000000000001,,,2020-01-01,
Heat Signature,no,no,,,0.8,5.59,0.9159,,,2017-09-01,
Roadwarden,no,no,,,0.33,18.28,0.9147,,,2022-09-01,
Resident Evil 4 (2005),no,no,,,0.75,9.99,0.9126000000000001,,,2014-02-01,
DR LIVESEY ROM AND DEATH EDITION,no,no,,,0.71,0.66,0.9123,,,2023-02-01,
Dead Estate,no,no,,,0.4,10.79,0.9087999999999999,,,2021-10-01,
SteamWorld Heist,no,no,,,0.9,2.89,0.9075,,,2016-06-01,
SteamWorld Dig,no,no,,,0.9,2.06,0.9065000000000001,,,2013-12-01,
Touhou Endless Dream,no,no,,,0.3,11.61,0.9036,,,2021-11-01,
My Vow to My Liege,no,no,,,0.35,13.44,0.9035,,,2020-09-01,
Deus Ex: Human Revolution - Director's Cut,no,no,,,0.85,5.24,0.9017000000000001,,,2013-10-01,
100 hidden cats,no,no,Week Long Deal,,0.7,0.68,0.8993000000000001,,,2021-04-01,
Priest Simulator,no,no,,,0.31,26.21,0.8987999999999999,,,2022-10-01,
Timelie,no,no,,,0.5,17.49,0.8976000000000001,,,2020-05-01,
Thief™ II: The Metal Age,no,no,,,0.86,1.81,0.8969,,,2000-03-01,
Mass Effect™ Legendary Edition,no,no,,,0.75,62.25,0.8969,in 12 days,2 days ago,2021-05-01,
Killer Frequency,no,no,,,0.2,71.2,0.8946999999999999,in 2 days,12 days ago,2023-06-01,
Hidden Through Time,no,no,Week Long Deal,,0.5,8.49,0.8939,in 2 days,5 days ago,2020-03-01,
Xuan-Yuan Sword: The Scar of Sky,no,no,,,0.3,27.3,0.8926000000000001,,4 days ago,2021-08-01,
Sniper Elite 4,no,no,,,0.9,10.59,0.8922,in 2 days,5 days ago,2017-02-01,
UnMetal,no,no,,,0.6,22.0,0.8920999999999999,in 2 days,5 days ago,2021-09-01,
Pumpkin Jack,no,no,,,0.7,17.39,0.8903,in 14 days,6 hours ago,2020-10-01,
Dead Space,no,no,,,0.3,174.3,0.8892,in 12 days,2 days ago,2023-01-01,
Broken Reality,no,no,Week Long Deal,,0.75,7.24,0.8891,in 2 days,5 days ago,2018-11-01,
Crimson Snow (2023),no,no,Week Long Deal,,0.21,11.44,0.8876999999999999,in 2 days,5 days ago,2023-03-01,
Thief™ Gold,no,no,,,0.86,1.81,0.8856,in 2 days,5 days ago,1998-11-01,
Lacuna – A Sci-Fi Noir Adventure,no,no,,,0.75,7.74,0.884,in 14 days,6 hours ago,2021-05-01,
The Witcher 2: Assassins of Kings Enhanced Edition,no,no,,,0.85,5.54,0.8824,in 8 days,2 days ago,2011-05-01,
Dragon's Dogma: Dark Arisen,no,no,,,0.84,11.99,0.882,in 9 days,5 days ago,2016-01-01,
Lara Croft and the Guardian of Light,no,no,,,0.85,2.54,0.8812000000000001,in 14 days,6 hours ago,2010-09-01,
Midnight Castle Succubus DX,no,no,Week Long Deal,,0.25,20.16,0.8809,in 2 days,5 days ago,2020-09-01,
Clash: Artifacts of Chaos,no,no,Daily Deal,,0.25,66.74,0.8806,in 18 hours,6 days ago,2023-03-01,
ULTIMATE MARVEL VS. CAPCOM 3,no,no,,,0.7,16.49,0.8797,in 9 days,5 days ago,2017-03-01,
Rollerdrome,no,no,,,0.5,79.95,0.8783,in 2 days,12 days ago,2022-08-01,
"Cook, Serve, Delicious! 3?!",no,no,,,0.75,9.49,0.8782,in 12 days,2 days ago,2020-10-01,
Lonely Mountains: Downhill,no,no,,,0.6,14.79,0.8778,in 14 days,6 hours ago,2019-10-01,
Blood West,no,no,,,0.25,21.74,0.8773000000000001,,,2022-02-01,
Aragami,no,no,,,0.85,5.54,0.877,,,2016-10-01,
Ultra Street Fighter® IV,no,no,,,0.87,7.79,0.8758,,,2014-08-01,
NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,no,no,Week Long Deal,,0.75,19.97,0.8748999999999999,,,2013-10-01,
Children of Morta,no,no,,,0.75,11.87,0.8741,,,2019-09-01,
The Witcher: Enhanced Edition Director's Cut,no,no,,,0.85,2.54,0.8734000000000001,,,2008-09-01,
SnowRunner,no,no,,,0.45,60.44,0.8732,,,2021-05-01,
Intruder,no,no,,,0.5,18.99,0.8731,,,2019-03-01,
Kyle is Famous: Complete Edition,no,no,Week Long Deal,,0.25,21.74,0.8717,,,2019-11-01,
Hell Pie,no,no,,,0.4,28.49,0.8714,,,2022-07-01,
OlliOlli World,no,no,,,0.5,35.0,0.8693000000000001,,,2022-02-01,
911 Operator,no,no,Daily Deal,not the lowest price,0.75,6.99,0.8687999999999999,,,2017-02-01,2.79
HAAK,no,no,,,0.3,24.49,0.8665999999999999,,,2022-08-01,
Monster Boy and the Cursed Kingdom,no,no,,,0.67,21.44,0.8662000000000001,,,2019-07-01,
Thronebreaker: The Witcher Tales,no,no,,,0.7,16.79,0.8645,,,2018-11-01,
Mecha Knights: Nightmare,no,no,,,0.5,15.49,0.8626999999999999,,,2021-08-01,
The Bridge Curse Road to Salvation,no,no,,,0.3,26.59,0.861,,,2022-08-01,
Capcom Fighting Collection,no,no,,,0.5,84.95,0.8606999999999999,,,2022-06-01,
Stone Story RPG,no,no,Introductory Offer,,0.2,30.39,0.8581,,,2023-07-01,
112 Operator,no,no,Daily Deal,not the lowest price,0.75,11.87,0.8578,,,2020-04-01,9.49
FOCUS on YOU,no,no,Week Long Deal,,0.7,22.64,0.8565,,,2019-07-01,
Mafia: Definitive Edition,no,no,,,0.65,80.46,0.856,,,2020-09-01,
The Inner World,no,no,,,0.9,2.49,0.8556999999999999,,,2013-09-01,
江城创业记,no,no,,,0.15,32.71,0.8554,,,2023-03-01,
UBERMOSH,no,no,,,0.71,0.62,0.8545999999999999,,,2015-08-01,
NARUTO SHIPPUDEN: Ultimate Ninja STORM 2,no,no,Week Long Deal,,0.75,19.97,0.8526,,,2017-08-01,
DEAD RISING®,no,no,,,0.7,11.99,0.8518000000000001,,,2016-09-01,
MONSTER HUNTER RISE,no,no,,,0.6,55.96,0.8515,,,2022-01-01,
Heaven Dust 2,no,no,,,0.2,23.19,0.8504,,,2022-01-01,
Aquarium Designer,no,no,Daily Deal,,0.35,13.44,0.831,,,2021-10-01,
Chorus,no,no,Daily Deal,,0.7,22.79,0.8218000000000001,,,2021-12-01,
CountryBalls Heroes,no,no,Daily Deal,,0.5,14.49,0.7745000000000001,,,2021-11-01,
Banners of Ruin,no,no,Daily Deal,new historical low,0.7,11.39,0.7717,,,2021-07-01,11.39
Rogue Heroes: Ruins of Tasos,no,no,Daily Deal,not the lowest price,0.75,26.22,0.7709999999999999,,,2021-02-01,17.99
"Warhammer 40,000: Chaos Gate - Daemonhunters",no,no,Midweek Deal,,0.5,42.49,0.7676999999999999,,,2022-05-01,
Serial Cleaners,no,no,Daily Deal,not the lowest price,0.6,41.6,0.7637,,,2022-09-01,34.19
Hotel Renovator,no,no,Daily Deal,,0.25,67.42,0.7486,,,2023-03-01,
Rustler (Grand Theft Horse),no,no,Daily Deal,not the lowest price,0.65,16.62,0.7247,,,2021-02-01,14.24
Radio Commander,no,no,Daily Deal,not the lowest price,0.75,9.49,0.711,,,2019-10-01,3.79
BE-A Walker,no,no,Daily Deal,not the lowest price,0.75,5.17,0.7089,,,2020-05-01,4.13
Transport INC,no,no,Daily Deal,not the lowest price,0.75,6.22,0.7040000000000001,,,2020-08-01,4.97
Reptiles: In Hunt,no,no,Daily Deal,not the lowest price,0.6,8.27,0.6286999999999999,,,2021-07-01,6.82
Artificer: Science of Magic,no,no,Daily Deal,new historical low,0.9,2.06,0.6284000000000001,,,2020-09-01,2.06
Natural Instincts: European Forest,no,no,Daily Deal,not the lowest price,0.5,10.34,0.5368999999999999,,,2021-07-01,8.89
Paws and Soul,no,no,Daily Deal,not the lowest price,0.75,6.22,0.5067,,,2020-07-01,4.97
Counter Terrorist Agency,no,no,Daily Deal,not the lowest price,0.75,9.49,0.4844,,,2019-12-01,3.79
Cyber Ops,no,no,Daily Deal,new historical low,0.9,2.89,0.47200000000000003,,,2020-05-01,2.89
Firework,no,no,,not the lowest price,0.4,12.41,0.9595999999999999,,,2021-02-01,10.34
The Wolf Among Us,no,no,Week Long Deal,not the lowest price,0.5,14.49,0.9564,,,2013-10-01,7.24
The Witcher® 3: Wild Hunt,no,no,,not the lowest price,0.7,23.99,0.9518000000000001,,,2015-05-01,15.99
Tomb Raider,no,no,,not the lowest price,0.8,6.99,0.9503,,,2013-03-01,0.0
Outlast,no,no,,not the lowest price,0.85,8.99,0.9495,,,2013-09-01,5.54
Touhou Mystia's Izakaya,no,no,,not the lowest price,0.35,20.15,0.9469,,,2021-10-01,16.99
Batman: Arkham Asylum Game of the Year Edition,no,no,,not the lowest price,0.75,22.49,0.9453,,,2010-03-01,7.39
Saints Row: The Third,no,no,,not the lowest price,0.5,9.99,0.9426000000000001,,,2011-11-01,3.99
Devil May Cry 5,no,no,,not the lowest price,0.67,32.96,0.9422,,,2019-03-01,29.69
Batman: Arkham City - Game of the Year Edition,no,no,,not the lowest price,0.75,22.49,0.9420000000000001,,,2012-09-01,9.24
SOMA,no,no,Week Long Deal,not the lowest price,0.7,26.69,0.94,,,2015-09-01,5.59
Streets of Rogue,no,no,,not the lowest price,0.8,11.99,0.9387000000000001,,,2019-07-01,9.49
Titanfall® 2,no,no,,not the lowest price,0.75,22.25,0.9359000000000001,,,2016-10-01,8.9
Resident Evil 7 Biohazard,no,no,,not the lowest price,0.6,26.76,0.9355,,,2017-01-01,23.09
Car Mechanic Simulator 2021,no,no,,not the lowest price,0.28,71.06,0.9353,,,2021-08-01,30.86
FlatOut 2™,no,no,,not the lowest price,0.85,10.49,0.9351999999999999,,,2006-08-01,1.69
Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™,no,no,,not the lowest price,0.75,11.24,0.9344,,,2014-06-01,8.74
Nova Drift,no,no,Week Long Deal,not the lowest price,0.4,32.99,0.9333,,,2019-03-01,14.49
Little Nightmares,no,no,,not the lowest price,0.75,21.22,0.9329000000000001,,,2017-04-01,0.0
Retrowave,no,no,,not the lowest price,0.5,3.24,0.9316,,,2022-05-01,2.24
POSTAL: Brain Damaged,no,no,,not the lowest price,0.25,54.57,0.9294,,,2022-06-01,27.29
Amnesia: The Dark Descent,no,no,Week Long Deal,not the lowest price,0.7,17.99,0.9269,,,2010-09-01,3.69
BioShock Infinite,no,no,,not the lowest price,0.8,23.8,0.9262,,,2013-03-01,20.99
Stick Fight: The Game,no,no,,not the lowest price,0.6,4.19,0.9242,,,2017-09-01,3.14
SteamWorld Dig 2,no,no,,not the lowest price,0.75,9.49,0.9238,,,2017-09-01,0.0
Darkwood,no,no,Week Long Deal,not the lowest price,0.6,9.99,0.9231,,,2017-08-01,6.24
Mount Your Friends,no,no,Week Long Deal,not the lowest price,0.65,5.94,0.9225,,,2014-07-01,2.09
Grim Dawn,no,no,Week Long Deal,not the lowest price,0.75,11.87,0.9218000000000001,,,2016-02-01,9.19
Crazy Machines 3,no,no,,not the lowest price,0.9,3.29,0.9184,,,2016-10-01,1.99
Behind the Frame: The Finest Scenery,no,no,,not the lowest price,0.35,27.29,0.9183,,,2021-08-01,15.51
Door Kickers,no,no,,not the lowest price,0.45,59.26,0.9174,,,2014-10-01,5.54
This War of Mine,no,no,,not the lowest price,0.8,11.99,0.9163,,,2014-11-01,7.39
Call of Duty®: Modern Warfare® 2 (2009),no,no,,not the lowest price,0.25,26.24,0.9156,,,2009-11-01,17.14
Call of Duty®,no,no,,not the lowest price,0.5,17.49,0.9151,,,2003-10-01,13.99
Higurashi When They Cry Hou - Ch.3 Tatarigoroshi,no,no,,not the lowest price,0.5,13.24,0.915,,,2016-06-01,3.99
DRAGON BALL Z: KAKAROT,no,no,Week Long Deal,not the lowest price,0.75,57.47,0.9145,,,2020-01-01,39.97
The Darkside Detective: A Fumble in the Dark,no,no,,not the lowest price,0.4,46.52,0.9142,,,2021-04-01,16.89
DmC: Devil May Cry,no,no,,not the lowest price,0.75,24.97,0.9134,,,2013-01-01,14.99
Planescape: Torment: Enhanced Edition,no,no,Week Long Deal,not the lowest price,0.7,17.99,0.9134,,,2017-04-01,3.69
Cat Goes Fishing,no,no,,not the lowest price,0.25,10.49,0.9134,,,2015-01-01,6.01
Alien: Isolation,no,no,,not the lowest price,0.8,35.8,0.9131,,,2014-10-01,3.65
Call of Duty® 4: Modern Warfare® (2007),no,no,,not the lowest price,0.5,17.49,0.9129,,,2007-11-01,17.14
"Cook, Serve, Delicious!",no,no,,not the lowest price,0.75,4.99,0.9123,,,2013-10-01,1.99
Higurashi When They Cry Hou - Ch.6 Tsumihoroboshi,no,no,,not the lowest price,0.35,17.21,0.9123,,,2018-06-01,8.29
60 Seconds! Reatomized,no,no,Week Long Deal,not the lowest price,0.5,14.99,0.9120999999999999,,,2019-07-01,4.99
Hidden in Plain Sight,no,no,,not the lowest price,0.5,10.24,0.9118,,,2014-07-01,1.19
Muv-Luv Alternative (マブラヴ オルタネイティヴ),no,no,,not the lowest price,0.5,68.49,0.9114,,,2017-09-01,37.74
Among Us,no,no,,not the lowest price,0.3,10.49,0.9105,,,2018-11-01,2.72
Higurashi When They Cry Hou - Ch.2 Watanagashi,no,no,,not the lowest price,0.5,13.24,0.9095,,,2015-11-01,3.19
Umineko When They Cry - Question Arcs,no,no,,not the lowest price,0.4,27.59,0.9074,,,2016-07-01,18.39
Call of Duty® 2,no,no,,not the lowest price,0.25,26.24,0.9067000000000001,,,2005-10-01,13.99
SPORE™,no,no,,not the lowest price,0.8,11.8,0.9059,,,2008-12-01,2.99
Rayman® Origins,no,no,,not the lowest price,0.7,17.99,0.9052,,,2012-03-01,4.99
Resident Evil,no,no,,not the lowest price,0.75,16.72,0.9048999999999999,,,2015-01-01,9.99
The Expression Amrilato,no,no,,not the lowest price,0.35,30.86,0.9048,,,2019-06-01,23.74
Last Evil,no,no,Week Long Deal,not the lowest price,0.25,15.51,0.9046,,,2020-06-01,12.41
Higurashi When They Cry Hou - Ch.4 Himatsubushi,no,no,,not the lowest price,0.5,10.24,0.9015000000000001,,,2016-10-01,3.59
Call of Duty: World at War,no,no,,not the lowest price,0.25,26.24,0.9011,,,2008-11-01,17.14
Hero of the Kingdom,no,no,Week Long Deal,not the lowest price,0.75,2.99,0.9004000000000001,,,2012-12-01,1.19
Clea,no,no,Week Long Deal,not the lowest price,0.15,23.7,0.8998,,,2019-07-01,10.53
Ex-Zodiac,no,no,Week Long Deal,not the lowest price,0.2,16.55,0.8996999999999999,,,2022-07-01,15.51
Touhou Blooming Chaos 2,no,no,,not the lowest price,0.4,18.6,0.8996,,,2020-04-01,14.72
Penumbra: Black Plague Gold Edition,no,no,Week Long Deal,not the lowest price,0.7,9.89,0.8994,,,2009-01-01,1.99
Ravenous Devils,no,no,Week Long Deal,not the lowest price,0.3,7.62,0.8986,,,2022-04-01,7.07
Four Last Things,no,no,,not the lowest price,0.7,4.79,0.8985,,,2017-02-01,3.99
Higurashi When They Cry Hou - Ch. 5 Meakashi,no,no,,not the lowest price,0.35,17.21,0.8985,,,2017-04-01,6.39
Larcin Lazer,no,no,Week Long Deal,,0.3,23.09,0.8981,,,2023-01-01,
Tom Clancy's Splinter Cell Chaos Theory®,no,no,,not the lowest price,0.75,7.49,0.8967,,,2005-03-01,4.99
Melody's Escape,no,no,Week Long Deal,not the lowest price,0.66,11.21,0.8967,,,2016-05-01,4.24
Melvor Idle,no,no,,not the lowest price,0.4,19.79,0.8962,,,2021-11-01,10.34
Outlast 2,no,no,,not the lowest price,0.54,81.98,0.8953,,,2017-04-01,8.69
Terminus: Zombie Survivors,no,no,,not the lowest price,0.2,24.79,0.8951,,,2021-03-01,22.79
Monster Sanctuary,no,no,,not the lowest price,0.7,23.99,0.8941,,,2020-12-01,20.39
Perfect Heist 2,no,no,,not the lowest price,0.3,20.99,0.894,,,2021-12-01,17.24
UnderMine,no,no,Week Long Deal,not the lowest price,0.35,24.69,0.8936,,,2020-08-01,9.49
Muv-Luv (マブラヴ),no,no,,not the lowest price,0.6,41.19,0.8933,,,2016-07-01,23.19
WhiteLily 1：丽丽公主,no,no,,not the lowest price,0.33,8.36,0.8931999999999999,,,2018-08-01,0.0
Car Mechanic Simulator 2018,no,no,,not the lowest price,0.4,59.12,0.8931,,,2017-07-01,6.28
Pathologic 2,no,no,,not the lowest price,0.29,89.58,0.893,,,2019-05-01,18.47
Umineko When They Cry - Answer Arcs,no,no,,not the lowest price,0.4,34.79,0.8914,,,2017-11-01,28.99
Notch - The Innocent LunA: Eclipsed SinnerS,no,no,,not the lowest price,0.65,11.54,0.8909999999999999,,,2012-02-01,4.99
Figment 2: Creed Valley,no,no,,new historical low,0.65,38.41,0.8908,,,2023-03-01,38.41
FlatOut,no,no,,not the lowest price,0.85,10.49,0.8906999999999999,,,2005-07-01,1.29
CARNAGE OFFERING Tower Defense,no,no,,not the lowest price,0.43,26.04,0.8906000000000001,,,2023-05-01,18.42
Devil May Cry HD Collection,no,no,,not the lowest price,0.67,32.96,0.8905,,,2018-03-01,23.09
Barony,no,no,Week Long Deal,not the lowest price,0.35,18.84,0.8905,,,2015-06-01,3.99
Call of Duty®: Black Ops,no,no,,not the lowest price,0.5,39.99,0.89,,,2010-11-01,39.19
Whispers of a Machine,no,no,Week Long Deal,not the lowest price,0.8,9.39,0.8895000000000001,,,2019-04-01,5.79
The Night of the Scissors,no,no,,not the lowest price,0.1,6.29,0.8893000000000001,,,2022-05-01,5.59
Atomicrops,no,no,Week Long Deal,not the lowest price,0.75,11.74,0.889,,,2020-09-01,7.24
Russian Subway Dogs,no,no,,,0.55,13.04,0.889,,,2018-08-01,
Donut Dodo,no,no,Week Long Deal,not the lowest price,0.2,8.71,0.889,,,2022-06-01,7.62
Higurashi When They Cry Hou - Ch.7 Minagoroshi,no,no,,not the lowest price,0.35,17.21,0.8889,,,2019-07-01,9.95
Ghost of a Tale,no,no,,not the lowest price,0.75,14.99,0.8887999999999999,,,2018-03-01,14.24
Borderlands Game of the Year,no,no,,not the lowest price,0.67,23.09,0.8881,,,,7.49
Wild Animal Racing,no,no,Week Long Deal,not the lowest price,0.25,10.49,0.8879,,,2016-03-01,3.99
Dark Messiah of Might & Magic,no,no,,not the lowest price,0.75,7.49,0.8875,,,2006-10-01,4.99
Kathy Rain,no,no,,not the lowest price,0.68,25.89,0.8875,,,2016-05-01,5.59
Roots of Pacha,no,no,,not the lowest price,0.15,63.74,0.8875,,,2023-04-01,59.99
Drift86,no,no,,not the lowest price,0.7,1.34,0.8874,,,2019-11-01,0.85
Command & Conquer™ Remastered Collection,no,no,,not the lowest price,0.65,20.65,0.8865999999999999,,,2020-06-01,8.85
Batman: The Enemy Within - The Telltale Series,no,no,Week Long Deal,not the lowest price,0.5,14.49,0.8864,,,2017-08-01,7.24
FIND ALL 2: Middle Ages,no,no,,not the lowest price,0.21,5.52,0.8863,,,2022-03-01,3.91
MudRunner,no,no,,not the lowest price,0.8,13.98,0.8859999999999999,,,2017-10-01,10.98
Far Cry 3,no,no,,not the lowest price,0.75,14.99,0.8859999999999999,,,2012-12-01,8.99
Mutant Year Zero: Road to Eden,no,no,,not the lowest price,0.6,35.79,0.8856999999999999,,,2018-12-01,26.84
Bridge Constructor Portal,no,no,,not the lowest price,0.85,3.1,0.8853,,,2017-12-01,2.06
Dino Run DX,no,no,Week Long Deal,not the lowest price,0.66,6.96,0.8853,,,2015-09-01,2.39
Sunset Routes,no,no,Week Long Deal,,0.2,2.79,0.8842,,,2022-11-01,
WhiteLily 2：梦醒少女,no,no,,,0.15,15.64,0.8841,,,2020-11-01,
Bio Prototype,no,no,,not the lowest price,0.12,13.01,0.884,,,2023-04-01,9.44
Prose & Codes,no,no,Week Long Deal,not the lowest price,0.2,26.39,0.8835999999999999,,,2022-02-01,17.58
NORCO,no,no,Week Long Deal,not the lowest price,0.45,25.84,0.8825,,,2022-03-01,14.49
100 hidden turtles,no,no,Week Long Deal,,0.8,1.29,0.8822,,,2022-09-01,
Travellers Rest,no,no,,not the lowest price,0.25,35.24,0.8820999999999999,,,2020-07-01,23.19
Bone's Cafe,no,no,Week Long Deal,not the lowest price,0.35,30.54,0.8818,,,2022-10-01,18.62
JUSTICE SUCKS: Tactical Vacuum Action,no,no,,not the lowest price,0.6,28.13,0.8812000000000001,,,2022-09-01,26.59
DRAGON BALL XENOVERSE 2,no,no,Week Long Deal,not the lowest price,0.85,32.23,0.8809999999999999,,,2016-10-01,23.98
Monaco: What's Yours Is Mine,no,no,,not the lowest price,0.8,5.59,0.8806,,,2013-04-01,2.24
Ctrl Alt Ego,no,no,,not the lowest price,0.3,41.99,0.8801000000000001,,,2022-07-01,22.79
